"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2010-01-21,"RISARALDA","PEREIRA",0.015,"KILOGRAMO",4.803662773,-75.79579093
2010-01-21,"RISARALDA","PEREIRA",0.011,"KILOGRAMO",4.803662773,-75.79579093
2010-01-21,"RISARALDA","PEREIRA",0.015,"KILOGRAMO",4.803662773,-75.79579093
2010-01-21,"RISARALDA","PEREIRA",0.03,"KILOGRAMO",4.803662773,-75.79579093
2010-01-22,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-22,"RISARALDA","PEREIRA",1.226,"KILOGRAMO",4.803662773,-75.79579093
2010-01-22,"QUINDIO","ARMENIA",0.004,"KILOGRAMO",4.499501128,-75.72489985
2010-01-22,"ATLANTICO","BARRANQUILLA",0.001,"KILOGRAMO",10.98152051,-74.82771544
2010-01-23,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-24,"RISARALDA","PEREIRA",0.001,"KILOGRAMO",4.803662773,-75.79579093
2010-01-25,"RISARALDA","PEREIRA",0.001,"KILOGRAMO",4.803662773,-75.79579093
2010-01-25,"RISARALDA","PEREIRA",0.001,"KILOGRAMO",4.803662773,-75.79579093
2010-01-25,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-25,"QUINDIO","ARMENIA",0.001,"KILOGRAMO",4.499501128,-75.72489985
2010-01-25,"QUINDIO","QUIMBAYA",0.002,"KILOGRAMO",4.610273497,-75.79205087
2010-01-25,"VALLE DEL CAUCA","GINEBRA",0.001,"KILOGRAMO",3.74410441,-76.19082004
2010-01-26,"QUINDIO","QUIMBAYA",0.001,"KILOGRAMO",4.610273497,-75.79205087
2010-01-26,"QUINDIO","QUIMBAYA",0.002,"KILOGRAMO",4.610273497,-75.79205087
2010-01-26,"QUINDIO","QUIMBAYA",0.001,"KILOGRAMO",4.610273497,-75.79205087
2010-01-27,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
